Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
1010,443.800,2.248,0.325,0.738,1.540,3.174,4.356,6.937,9.154,17.073,0.445
1015,522.200,1.911,0.319,0.696,1.196,2.844,3.642,4.015,7.267,15.213,0.523
1020,510.600,1.954,0.317,0.688,1.255,2.990,3.755,4.299,7.257,10.180,0.512
1025,473.200,2.109,0.316,0.708,1.318,3.096,3.936,5.816,8.652,14.338,0.474
1030,525.600,1.898,0.326,0.688,1.195,2.859,3.625,3.963,7.088,8.508,0.527
1035,523.000,1.909,0.318,0.693,1.203,2.838,3.628,3.947,7.150,8.777,0.524
1040,497.600,2.006,0.327,0.695,1.796,3.042,3.723,4.049,7.218,23.156,0.499
1045,509.600,1.959,0.328,0.695,1.230,2.983,3.718,4.024,7.299,8.850,0.510
1050,512.000,1.951,0.303,0.691,1.708,2.944,3.690,4.025,7.107,8.760,0.513
1055,488.200,2.042,0.305,0.690,1.482,3.001,3.850,6.068,7.358,17.176,0.490
1060,532.000,1.875,0.317,0.685,1.037,2.772,3.645,4.048,7.113,9.823,0.533
1065,496.600,2.009,0.327,0.710,1.272,3.017,3.859,5.243,7.321,9.451,0.498
1070,465.400,2.145,0.340,0.839,1.831,3.088,3.927,6.651,7.533,13.290,0.466
1075,517.600,1.928,0.302,0.735,1.271,2.938,3.609,3.930,6.809,8.547,0.519
1080,529.400,1.883,0.327,0.737,1.126,2.772,3.616,3.966,6.701,9.315,0.531
1085,501.600,1.989,0.333,0.753,1.385,2.928,3.810,4.446,6.841,8.787,0.503
1090,517.800,1.926,0.311,0.747,1.138,2.843,3.717,4.040,6.863,11.590,0.519
1095,519.800,1.920,0.320,0.735,1.162,2.879,3.664,4.074,6.806,8.552,0.521
1100,517.200,1.929,0.308,0.738,1.110,2.934,3.694,4.113,6.818,9.102,0.518
1105,501.000,1.990,0.315,0.741,1.262,3.023,3.768,4.297,6.799,7.997,0.502
1110,459.600,2.174,0.328,0.750,1.746,3.100,4.030,6.369,8.207,21.673,0.460
1115,509.600,1.961,0.328,0.740,1.782,2.956,3.638,3.964,6.717,12.868,0.510
1120,521.000,1.918,0.322,0.728,1.583,2.926,3.558,3.860,6.709,8.634,0.521
1125,533.800,1.872,0.306,0.683,1.156,2.836,3.630,3.927,6.824,12.603,0.534
1130,527.400,1.894,0.313,0.683,1.249,2.954,3.624,3.946,6.673,7.596,0.528
1135,522.000,1.914,0.321,0.679,1.141,2.867,3.688,4.042,6.785,7.833,0.522
1140,537.600,1.859,0.311,0.687,1.098,2.798,3.643,3.957,6.816,8.312,0.538
1145,531.800,1.878,0.311,0.681,1.166,2.803,3.614,3.946,6.821,7.743,0.532
1150,532.200,1.878,0.324,0.681,1.130,2.927,3.631,3.922,6.810,8.214,0.532
1155,538.000,1.856,0.311,0.681,1.173,2.751,3.597,3.871,6.825,8.171,0.539
1160,543.600,1.838,0.312,0.671,1.060,2.755,3.573,3.937,6.794,7.924,0.544
1165,550.200,1.817,0.287,0.667,1.027,2.767,3.505,3.783,6.708,8.008,0.550
1170,534.200,1.870,0.312,0.670,1.112,2.840,3.630,3.904,6.778,8.127,0.535
1175,525.200,1.903,0.304,0.670,1.695,2.767,3.580,4.226,6.769,15.884,0.525
1180,425.600,2.348,0.323,0.843,1.468,3.444,4.680,6.584,8.868,17.542,0.426
1185,409.200,2.441,0.314,0.864,1.785,3.412,4.838,6.559,9.536,14.264,0.410
1190,439.200,2.276,0.335,0.827,1.633,3.273,4.416,5.970,9.095,13.247,0.439
1195,519.200,1.926,0.323,0.700,1.150,2.988,3.706,4.018,6.877,8.470,0.519
1200,514.200,1.941,0.299,0.695,1.160,3.008,3.737,4.207,6.829,9.437,0.515
1205,499.800,1.999,0.325,0.700,1.337,3.019,3.782,4.755,6.935,23.028,0.500
1210,523.000,1.910,0.326,0.701,1.237,2.829,3.648,3.973,6.911,8.357,0.524
1215,534.000,1.871,0.322,0.705,1.032,2.824,3.645,3.999,6.896,8.167,0.534
1220,495.400,2.017,0.329,0.711,1.655,3.028,3.816,4.583,7.102,12.491,0.496
1225,531.800,1.878,0.318,0.681,1.081,2.797,3.639,4.008,6.833,7.725,0.532
1230,511.000,1.955,0.302,0.688,1.269,2.987,3.756,4.847,6.838,8.628,0.511
1235,534.000,1.871,0.310,0.693,1.120,2.823,3.568,3.914,6.837,8.409,0.534
1240,512.800,1.948,0.314,0.697,1.767,2.966,3.656,3.978,6.852,7.779,0.513
1245,515.200,1.940,0.307,0.700,1.148,2.921,3.718,4.061,7.033,22.543,0.516
1250,506.000,1.976,0.311,0.709,1.337,2.963,3.747,4.511,6.974,9.872,0.506
1255,515.800,1.937,0.315,0.689,1.148,2.818,3.744,4.529,6.877,12.193,0.516
1260,517.600,1.930,0.311,0.693,1.407,2.888,3.696,3.970,6.908,8.270,0.518
1265,530.800,1.883,0.330,0.692,1.089,2.894,3.678,3.954,6.844,7.167,0.531
1270,517.400,1.931,0.317,0.695,1.194,2.990,3.638,3.948,6.965,8.472,0.518
1275,523.600,1.909,0.308,0.696,1.061,2.890,3.721,4.012,6.938,8.104,0.524
1280,511.800,1.953,0.327,0.700,1.212,3.031,3.694,4.038,6.962,9.309,0.512
1285,514.600,1.942,0.330,0.710,1.151,2.952,3.796,4.188,7.196,8.320,0.515
1290,468.200,2.134,0.316,0.721,1.393,3.159,3.987,5.512,8.557,14.655,0.469
1295,524.800,1.905,0.325,0.687,1.452,2.870,3.599,3.909,6.865,7.229,0.525
1300,531.000,1.882,0.314,0.685,1.124,2.899,3.608,3.909,6.859,8.111,0.531
1305,521.000,1.919,0.322,0.720,1.069,2.914,3.716,4.062,7.108,10.282,0.521
1310,500.800,1.995,0.320,0.781,1.288,2.958,3.746,4.164,7.096,8.234,0.501
1315,509.600,1.961,0.308,0.738,1.257,3.012,3.667,4.015,6.831,14.806,0.510
1320,443.000,2.256,0.314,0.895,1.316,3.350,4.493,5.213,8.876,12.323,0.443
1325,439.200,2.276,0.318,0.923,1.311,3.324,4.553,5.228,8.938,10.036,0.439
1330,507.000,1.971,0.316,0.740,1.755,2.930,3.734,4.078,7.015,8.712,0.507
1335,528.800,1.890,0.302,0.725,1.225,2.864,3.564,3.885,6.757,11.183,0.529
1340,524.000,1.907,0.291,0.731,1.156,2.877,3.669,3.958,6.819,8.096,0.524
1345,438.200,2.281,0.317,0.772,1.487,3.250,4.554,6.626,8.655,16.950,0.438
1350,428.000,2.335,0.324,0.783,1.466,3.253,4.855,6.698,8.814,17.237,0.428
1355,510.000,1.959,0.303,0.725,1.729,2.948,3.669,4.264,6.789,13.403,0.510
1360,497.400,2.009,0.317,0.744,1.197,3.000,3.873,4.632,7.320,8.979,0.498
1365,511.400,1.955,0.320,0.691,1.434,2.924,3.700,4.119,7.095,14.238,0.511
1370,537.400,1.859,0.303,0.665,1.153,2.785,3.562,3.914,6.735,7.942,0.538
1375,438.000,2.283,0.330,0.782,1.711,3.259,4.509,6.585,8.635,16.266,0.438
1380,525.000,1.902,0.325,0.682,1.175,2.885,3.631,4.068,6.843,9.218,0.526
1385,483.400,2.069,0.322,0.697,1.740,2.991,3.849,6.106,7.317,16.227,0.483
1390,486.600,2.053,0.327,0.714,1.596,3.077,3.875,4.754,7.519,22.723,0.487
1395,486.200,2.056,0.317,0.678,1.492,2.983,3.829,6.539,7.380,16.793,0.486
1400,468.200,2.134,0.323,0.714,1.350,3.105,4.178,6.177,8.478,11.912,0.469
1405,521.200,1.918,0.325,0.688,1.714,2.845,3.613,4.014,6.879,8.158,0.522
1410,520.000,1.922,0.313,0.684,1.286,2.913,3.687,4.358,6.854,8.528,0.520
1415,521.000,1.919,0.316,0.679,1.203,2.902,3.695,4.454,6.841,9.607,0.521
1420,525.400,1.902,0.303,0.677,1.068,2.882,3.718,4.397,7.038,9.537,0.526
1425,524.000,1.907,0.313,0.706,1.210,2.830,3.682,3.961,7.053,8.986,0.524
1430,405.000,2.468,0.313,0.851,1.827,3.421,4.763,6.914,11.387,17.518,0.405
1435,506.800,1.973,0.314,0.716,1.446,2.991,3.701,4.495,6.782,13.606,0.507
1440,444.200,2.248,0.320,0.775,1.593,3.152,4.497,6.426,8.544,16.494,0.445
